เพศ,อายุ,l(x),d(x),e°(x),1000q(x)
หญิง,90,178788,32162,3.64,179.8918
หญิง,91,146625,29194,3.33,199.1061
หญิง,92,117431,25879,3.03,220.3726
หญิง,93,91553,22331,2.74,243.9106
หญิง,94,69222,18544,2.47,267.8928
หญิง,95,50678,14886,2.19,293.7395
หญิง,96,35792,11507,1.89,321.4867
หญิง,97,24285,8528,1.55,351.1441
หญิง,98,15758,6030,1.12,382.6892
หญิง,99,9727,9727,0.5,1000.0
